254.9671 	EXP 	Set  sound=stimuli/audiosegment/2000hz_minus_80dBFS.wav
254.9671 	EXP 	Sound  started
256.9524 	EXP 	Sound  stopped
256.9531 	EXP 	Set  sound=stimuli/audiosegment/2000hz_minus_90dBFS.wav
256.9531 	EXP 	Sound  started
258.7385 	DATA 	Keypress: 7
258.9384 	EXP 	Sound  stopped
258.9390 	EXP 	Set  sound=stimuli/audiosegment/2250hz_minus_20dBFS.wav
258.9390 	EXP 	Sound  started
260.9242 	EXP 	Sound  stopped
260.9248 	EXP 	Set  sound=stimuli/audiosegment/2250hz_minus_30dBFS.wav
260.9248 	EXP 	Sound  started
262.9101 	EXP 	Sound  stopped
262.9107 	EXP 	Set  sound=stimuli/audiosegment/2250hz_minus_40dBFS.wav
262.9107 	EXP 	Sound  started
264.8960 	EXP 	Sound  stopped
264.8966 	EXP 	Set  sound=stimuli/audiosegment/2250hz_minus_50dBFS.wav
264.8966 	EXP 	Sound  started
266.8819 	EXP 	Sound  stopped
266.8825 	EXP 	Set  sound=stimuli/audiosegment/2250hz_minus_60dBFS.wav
266.8825 	EXP 	Sound  started
268.8677 	EXP 	Sound  stopped
268.8683 	EXP 	Set  sound=stimuli/audiosegment/2250hz_minus_70dBFS.wav
268.8683 	EXP 	Sound  started
270.8536 	EXP 	Sound  stopped
270.8542 	EXP 	Set  sound=stimuli/audiosegment/2250hz_minus_80dBFS.wav
270.8542 	EXP 	Sound  started
272.6379 	DATA 	Keypress: 7
272.8378 	EXP 	Sound  stopped
272.8384 	EXP 	Set  sound=stimuli/audiosegment/2500hz_minus_20dBFS.wav
272.8385 	EXP 	Sound  started
274.8233 	EXP 	Sound  stopped
274.8238 	EXP 	Set  sound=stimuli/audiosegment/2500hz_minus_30dBFS.wav
274.8239 	EXP 	Sound  started
276.8091 	EXP 	Sound  stopped
276.8097 	EXP 	Set  sound=stimuli/audiosegment/2500hz_minus_40dBFS.wav
276.8097 	EXP 	Sound  started
278.7950 	EXP 	Sound  stopped
278.7956 	EXP 	Set  sound=stimuli/audiosegment/2500hz_minus_50dBFS.wav
278.7956 	EXP 	Sound  started
280.7809 	EXP 	Sound  stopped
280.7815 	EXP 	Set  sound=stimuli/audiosegment/2500hz_minus_60dBFS.wav
280.7815 	EXP 	Sound  started
282.7668 	EXP 	Sound  stopped
282.7674 	EXP 	Set  sound=stimuli/audiosegment/2500hz_minus_70dBFS.wav
282.7674 	EXP 	Sound  started
284.7527 	EXP 	Sound  stopped
284.7533 	EXP 	Set  sound=stimuli/audiosegment/2500hz_minus_80dBFS.wav
284.7533 	EXP 	Sound  started
286.5387 	DATA 	Keypress: 7
286.7386 	EXP 	Sound  stopped
286.7392 	EXP 	Set  sound=stimuli/audiosegment/2750hz_minus_20dBFS.wav
286.7392 	EXP 	Sound  started
288.7244 	EXP 	Sound  stopped
288.7250 	EXP 	Set  sound=stimuli/audiosegment/2750hz_minus_30dBFS.wav
288.7250 	EXP 	Sound  started
290.7103 	EXP 	Sound  stopped
290.7109 	EXP 	Set  sound=stimuli/audiosegment/2750hz_minus_40dBFS.wav
290.7109 	EXP 	Sound  started
292.6962 	EXP 	Sound  stopped
292.6968 	EXP 	Set  sound=stimuli/audiosegment/2750hz_minus_50dBFS.wav
292.6968 	EXP 	Sound  started
294.6808 	EXP 	Sound  stopped
294.6814 	EXP 	Set  sound=stimuli/audiosegment/2750hz_minus_60dBFS.wav
294.6815 	EXP 	Sound  started
296.6667 	EXP 	Sound  stopped
296.6673 	EXP 	Set  sound=stimuli/audiosegment/2750hz_minus_70dBFS.wav
296.6673 	EXP 	Sound  started
298.6526 	EXP 	Sound  stopped
298.6532 	EXP 	Set  sound=stimuli/audiosegment/2750hz_minus_80dBFS.wav
298.6532 	EXP 	Sound  started
300.4386 	DATA 	Keypress: 7
300.6385 	EXP 	Sound  stopped
300.6391 	EXP 	Set  sound=stimuli/audiosegment/3000hz_minus_20dBFS.wav
300.6391 	EXP 	Sound  started
302.6231 	EXP 	Sound  stopped
