373.9139 	EXP 	unnamed TextStim: text = 'Jetzt geht es los!'
375.9189 	EXP 	window1: blendMode = 'avg'
375.9485 	EXP 	unnamed TextStim: text = '+'
375.9493 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_20dBFS.wav
375.9493 	EXP 	Sound  started
377.9346 	EXP 	Sound  stopped
377.9351 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_30dBFS.wav
377.9351 	EXP 	Sound  started
379.9204 	EXP 	Sound  stopped
379.9210 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_40dBFS.wav
379.9210 	EXP 	Sound  started
381.9063 	EXP 	Sound  stopped
381.9068 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_50dBFS.wav
381.9069 	EXP 	Sound  started
383.8921 	EXP 	Sound  stopped
383.8928 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_60dBFS.wav
383.8928 	EXP 	Sound  started
385.8778 	EXP 	Sound  stopped
385.8784 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_70dBFS.wav
385.8784 	EXP 	Sound  started
387.8636 	EXP 	Sound  stopped
387.8642 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_80dBFS.wav
387.8642 	EXP 	Sound  started
389.8495 	EXP 	Sound  stopped
389.8500 	EXP 	Set  sound=stimuli/audiosegment/150hz_minus_90dBFS.wav
389.8500 	EXP 	Sound  started
391.8353 	EXP 	Sound  stopped
391.8353 	EXP 	Sound  stopped
391.8359 	EXP 	Set  sound=stimuli/audiosegment/250hz_minus_20dBFS.wav
391.8359 	EXP 	Sound  started
393.8212 	EXP 	Sound  stopped
393.8387 	EXP 	Set  sound=stimuli/audiosegment/250hz_minus_30dBFS.wav
393.8387 	EXP 	Sound  started
395.8240 	EXP 	Sound  stopped
395.8259 	EXP 	Set  sound=stimuli/audiosegment/250hz_minus_40dBFS.wav
395.8259 	EXP 	Sound  started
397.8106 	EXP 	Sound  stopped
397.8125 	EXP 	Set  sound=stimuli/audiosegment/250hz_minus_50dBFS.wav
397.8126 	EXP 	Sound  started
399.7978 	EXP 	Sound  stopped
399.7998 	EXP 	Set  sound=stimuli/audiosegment/250hz_minus_60dBFS.wav
399.7998 	EXP 	Sound  started
401.7836 	EXP 	Sound  stopped
401.7856 	EXP 	Set  sound=stimuli/audiosegment/250hz_minus_70dBFS.wav
401.7856 	EXP 	Sound  started
403.7709 	EXP 	Sound  stopped
403.7729 	EXP 	Set  sound=stimuli/audiosegment/250hz_minus_80dBFS.wav
403.7730 	EXP 	Sound  started
405.7581 	EXP 	Sound  stopped
405.7586 	EXP 	Set  sound=stimuli/audiosegment/250hz_minus_90dBFS.wav
405.7586 	EXP 	Sound  started
407.7439 	EXP 	Sound  stopped
407.7439 	EXP 	Sound  stopped
407.7444 	EXP 	Set  sound=stimuli/audiosegment/500hz_minus_20dBFS.wav
407.7445 	EXP 	Sound  started
409.5298 	DATA 	Keypress: 7
409.7297 	EXP 	Sound  stopped
